Opportunity Name,Value,Stage,Territory,Heat Score,Close Date,Account,Owner
Azure Migration Project,$125000,Qualify,CA,85,2024-12-15,Contoso Corp,John Smith
Data Center Expansion,$89000,Develop,TX,72,2024-11-30,Fabrikam Inc,Jane Doe
Cloud Security Assessment,$45000,Propose,NY,68,2024-12-20,Adventure Works,Mike Johnson
Digital Transformation,$210000,Qualify,FL,91,2025-01-15,Northwind Traders,Sarah Wilson
Network Infrastructure,$67000,Develop,IL,75,2024-12-10,Contoso Corp,John Smith
AI Implementation,$180000,Propose,CA,88,2025-01-20,Fabrikam Inc,Jane Doe
Backup Solution,$32000,Close Won,TX,95,2024-11-15,Adventure Works,Mike Johnson
Compliance Audit,$55000,Qualify,NY,70,2024-12-25,Northwind Traders,Sarah Wilson
Mobile App Development,$95000,Develop,FL,78,2025-01-10,Contoso Corp,John Smith
IoT Platform,$145000,Propose,IL,82,2025-01-30,Fabrikam Inc,Jane Doe
Database Migration,$78000,Close Won,CA,90,2024-11-20,Adventure Works,Mike Johnson
API Integration,$42000,Qualify,TX,65,2024-12-05,Northwind Traders,Sarah Wilson
DevOps Transformation,$165000,Develop,NY,80,2025-01-25,Contoso Corp,John Smith
Cybersecurity Training,$38000,Propose,FL,73,2024-12-18,Fabrikam Inc,Jane Doe
Cloud Cost Optimization,$62000,Close Won,IL,87,2024-11-25,Adventure Works,Mike Johnson
